province,grid_type,grid_id,sector,load_center_id,tech,generation_mwh,distance_km
Xinjiang,land,R14_C27,power,XJ_P_L008,wind_land,13820026.343349896,14.199821124067244
Xinjiang,land,R16_C21,power,XJ_P_L001,wind_land,13729614.242921878,123.44560487572836
Xinjiang,land,R16_C21,power,XJ_P_L006,wind_land,7858939.789198104,298.44273282646105
Xinjiang,land,R16_C22,chem,XJ_C_L003,wind_land,16355.231703956559,194.7747109144956
Xinjiang,land,R16_C22,chem,XJ_C_L005,wind_land,2608801.8437204566,64.51108589967544
Xinjiang,land,R17_C22,power,XJ_P_L001,wind_land,19769665.45685869,68.82806471754304
Xinjiang,land,R17_C23,chem,XJ_C_L003,wind_land,11309.989407261886,163.2795679531007
Xinjiang,land,R17_C23,chem,XJ_C_L004,wind_land,26482.742698394046,157.59120060378476
Xinjiang,land,R17_C23,chem,XJ_C_L005,wind_land,1804041.7751668077,45.33405359530284
Xinjiang,land,R17_C23,chem,XJ_C_L006,wind_land,14845.801949324295,169.70143993091432
Xinjiang,land,R18_C22,power,XJ_P_L001,wind_land,15239358.698683994,21.90300126443068
Xinjiang,land,R19_C27,power,XJ_P_L007,wind_land,32973611.851581972,165.63049497045313
Xinjiang,land,R20_C16,power,XJ_P_L006,wind_land,7828321.873492842,24.819339988129983
Xinjiang,land,R20_C17,power,XJ_P_L006,wind_land,13875010.556444438,25.931097626190006
Xinjiang,land,R20_C26,power,XJ_P_L007,wind_land,6297351.136672494,101.30204756610314
Xinjiang,land,R20_C27,power,XJ_P_L007,wind_land,20615536.7139581,123.36383308220624
Xinjiang,land,R20_C29,power,XJ_P_L007,wind_land,11455183.16625626,200.7582918953951
Xinjiang,land,R21_C16,power,XJ_P_L006,wind_land,2504582.586070434,58.12349507963411
Xinjiang,land,R21_C17,power,XJ_P_L006,wind_land,10816431.557701476,58.948244654081805
Xinjiang,land,R21_C26,power,XJ_P_L007,wind_land,2237335.04160046,54.50136201966625
Xinjiang,land,R21_C27,power,XJ_P_L007,wind_land,20006309.077773284,89.1827473490311
Xinjiang,land,R21_C28,chem,XJ_C_L009,wind_land,47686.558166672585,132.38881094832834
Xinjiang,land,R21_C28,chem,XJ_C_L011,wind_land,5731468.092504998,139.48791475744036
Xinjiang,land,R21_C28,chem,XJ_C_L012,wind_land,7152983.725242394,136.6283902444032
Xinjiang,land,R21_C28,chem,XJ_C_L013,wind_land,71529.83724741799,130.43377948234033
Xinjiang,land,R21_C28,chem,XJ_C_L014,wind_land,21266.46402504776,125.14840824112588
Xinjiang,land,R22_C24,chem,XJ_C_L010,wind_land,184760.12238918373,73.18748533232797
Xinjiang,land,R22_C24,chem,XJ_C_L011,wind_land,1155713.932060611,73.18946478172583
Xinjiang,land,R22_C33,power,XJ_P_L004,wind_land,2396749.755416168,138.7489897737042
Xinjiang,land,R23_C25,power,XJ_P_L007,wind_land,12437270.534859749,56.40586687800827
Xinjiang,land,R23_C26,chem,XJ_C_L002,wind_land,5619.722108710178,355.3245457249397
Xinjiang,land,R23_C26,chem,XJ_C_L004,wind_land,9745.60471229248,272.1116831579738
Xinjiang,land,R23_C26,chem,XJ_C_L006,wind_land,5463.230116180095,187.68934126818883
Xinjiang,land,R23_C26,chem,XJ_C_L007,wind_land,1611006.512766732,236.9590689517386
Xinjiang,land,R23_C26,chem,XJ_C_L008,wind_land,1758772.230080408,237.14945274100228
Xinjiang,land,R23_C26,chem,XJ_C_L009,wind_land,33549.56994488804,71.6414473361589
Xinjiang,land,R23_C26,chem,XJ_C_L010,wind_land,202375.17527815513,52.14197481290763
Xinjiang,land,R23_C26,chem,XJ_C_L011,wind_land,5298237.192169042,52.13706566085543
Xinjiang,land,R23_C26,chem,XJ_C_L012,wind_land,5032435.491492257,51.76468241381295
Xinjiang,land,R23_C26,chem,XJ_C_L013,wind_land,50324.35491861073,61.296117915488715
Xinjiang,land,R23_C26,chem,XJ_C_L014,wind_land,14961.883385835928,64.83365954268966
Xinjiang,land,R25_C33,power,XJ_P_L004,wind_land,12534653.547835482,10.846199083367503
Xinjiang,land,R26_C15,power,XJ_P_L003,wind_land,6437083.777713771,44.19247058964415
Xinjiang,land,R26_C2,power,XJ_P_L002,wind_land,31414268.651724543,228.41516287297614
Xinjiang,land,R26_C21,power,XJ_P_L009,wind_land,1030097.6401512548,59.56967950111758
Xinjiang,land,R26_C22,power,XJ_P_L009,wind_land,12116689.869412528,18.61282089303485
Xinjiang,land,R26_C3,power,XJ_P_L002,wind_land,16608669.41727435,187.7106797260023
Xinjiang,land,R27_C15,power,XJ_P_L003,wind_land,6067673.804863465,82.01732796636425
Xinjiang,land,R27_C21,power,XJ_P_L009,wind_land,12603279.840222018,64.85903828927268
Xinjiang,land,R27_C22,chem,XJ_C_L002,wind_land,18751.116324504215,158.42704978812824
Xinjiang,land,R27_C22,chem,XJ_C_L007,wind_land,5375385.107641665,50.480023491324836
Xinjiang,land,R27_C22,chem,XJ_C_L008,wind_land,5868429.443573532,50.1177581683522
Xinjiang,land,R28_C5,power,XJ_P_L002,wind_land,6265871.043336703,45.86764312299827
Xinjiang,land,R28_C6,power,XJ_P_L002,wind_land,1403639.705135407,26.915373777985778
Xinjiang,land,R29_C5,power,XJ_P_L002,wind_land,19754732.604537673,45.624208330507244
Xinjiang,land,R29_C6,power,XJ_P_L002,wind_land,16863375.070085187,28.04193838432868
Xinjiang,land,R30_C3,chem,XJ_C_L001,wind_land,6512836.194536485,139.57231391918566
Xinjiang,land,R31_C16,power,XJ_P_L003,wind_land,33683799.12845489,284.8721277641819
Xinjiang,land,R32_C10,power,XJ_P_L005,wind_land,26619017.620930545,98.70872963234255
Xinjiang,land,R32_C15,power,XJ_P_L003,wind_land,1374467.275558617,321.7508255996786
Xinjiang,land,R32_C15,power,XJ_P_L005,wind_land,11491327.767689733,264.5596018122585
Xinjiang,land,R32_C7,chem,XJ_C_L001,wind_land,5672583.022197308,96.17429413536074
Xinjiang,land,R14_C27,power,XJ_P_L008,pv,7722020.125056796,14.199821124067244
Xinjiang,land,R16_C22,chem,XJ_C_L005,pv,16608242.02828615,64.51108589967544
Xinjiang,land,R17_C21,power,XJ_P_L001,pv,28451064.11479815,77.49729156682156
Xinjiang,land,R18_C22,power,XJ_P_L001,pv,4433206.609040211,21.90300126443068
Xinjiang,land,R20_C16,power,XJ_P_L006,pv,629381.903633034,24.819339988129983
Xinjiang,land,R20_C17,power,XJ_P_L006,pv,28304245.3913415,25.931097626190006
Xinjiang,land,R21_C26,power,XJ_P_L007,pv,39742871.164323434,54.50136201966625
Xinjiang,land,R22_C24,chem,XJ_C_L003,pv,44270.87745351027,168.08303479694078
Xinjiang,land,R22_C24,chem,XJ_C_L004,pv,57973.89878628694,161.95680030455978
Xinjiang,land,R22_C24,chem,XJ_C_L006,pv,32499.240333587095,86.93100882659309
Xinjiang,land,R22_C25,chem,XJ_C_L009,pv,105666.83420444682,27.83565253703561
Xinjiang,land,R22_C25,chem,XJ_C_L010,pv,503561.1896672428,23.28995518660527
Xinjiang,land,R22_C25,chem,XJ_C_L011,pv,15850025.131925073,23.292673060962812
Xinjiang,land,R22_C25,chem,XJ_C_L012,pv,8156773.187539318,25.622201204540126
Xinjiang,land,R22_C25,chem,XJ_C_L013,pv,158500.25130577473,28.27902243795098
Xinjiang,land,R22_C25,chem,XJ_C_L014,pv,47123.550419137304,33.56183499803765
Xinjiang,land,R22_C26,power,XJ_P_L007,pv,21747747.673208322,24.639293046249186
Xinjiang,land,R23_C25,power,XJ_P_L007,pv,11059540.684387663,56.40586687800827
Xinjiang,land,R23_C26,chem,XJ_C_L009,pv,200074.63176155504,71.6414473361589
Xinjiang,land,R23_C26,chem,XJ_C_L010,pv,953466.8123749858,52.14197481290763
Xinjiang,land,R23_C26,chem,XJ_C_L011,pv,30011194.76299141,52.13706566085543
Xinjiang,land,R23_C26,chem,XJ_C_L012,pv,38687737.05814485,51.76468241381295
Xinjiang,land,R23_C26,chem,XJ_C_L013,pv,300111.947630668,61.296117915488715
Xinjiang,land,R23_C26,chem,XJ_C_L014,pv,89225.98154922768,64.83365954268966
Xinjiang,land,R24_C24,chem,XJ_C_L003,pv,59850.34859969915,243.22741500769496
Xinjiang,land,R24_C24,chem,XJ_C_L004,pv,78375.63318096683,239.64032812742875
Xinjiang,land,R24_C24,chem,XJ_C_L006,pv,43936.12629847618,182.0151551708403
Xinjiang,land,R24_C24,chem,XJ_C_L007,pv,5458837.769241083,130.29753743916035
Xinjiang,land,R24_C24,chem,XJ_C_L008,pv,5959536.600859225,130.56011211545098
Xinjiang,land,R25_C14,power,XJ_P_L003,pv,32091076.169020966,29.475973935611496
Xinjiang,land,R25_C22,chem,XJ_C_L002,pv,91722.43978863004,135.92193997281814
Xinjiang,land,R25_C22,chem,XJ_C_L007,pv,20835246.716217738,54.29249206450574
Xinjiang,land,R25_C22,chem,XJ_C_L008,pv,22746309.863408472,54.723759312157085
Xinjiang,land,R25_C33,power,XJ_P_L004,pv,11545191.873131208,10.846199083367503
Xinjiang,land,R25_C4,power,XJ_P_L002,pv,9244182.071824588,195.15049303765502
Xinjiang,land,R26_C22,power,XJ_P_L009,pv,17506388.757865764,18.61282089303485
Xinjiang,land,R28_C6,power,XJ_P_L002,pv,53038340.17545084,26.915373777985778
Xinjiang,land,R31_C5,chem,XJ_C_L001,pv,39827252.38161795,38.61120592741969
Xinjiang,land,R34_C10,power,XJ_P_L005,pv,21784862.14297066,6.509945093762734
Xinjiang,land,R36_C6,chem,XJ_C_L001,pv,6033967.513298184,265.7685118937171
Xinjiang,land,R38_C9,power,XJ_P_L005,pv,3928431.381821269,204.62242294838777
