province,grid_type,grid_id,y_power,y_chem,assigned_sector
Xinjiang,land,R11_C27,-0.0,-0.0,none
Xinjiang,land,R12_C25,-0.0,-0.0,none
Xinjiang,land,R12_C26,-0.0,-0.0,none
Xinjiang,land,R12_C27,-0.0,-0.0,none
Xinjiang,land,R13_C25,-0.0,0.0,none
Xinjiang,land,R13_C26,-0.0,-0.0,none
Xinjiang,land,R13_C27,-0.0,-0.0,none
Xinjiang,land,R13_C28,-0.0,-0.0,none
Xinjiang,land,R14_C20,-0.0,-0.0,none
Xinjiang,land,R14_C25,-0.0,-0.0,none
Xinjiang,land,R14_C26,-0.0,-0.0,none
Xinjiang,land,R14_C27,1.0,-0.0,power
Xinjiang,land,R14_C28,-0.0,-0.0,none
Xinjiang,land,R14_C29,0.0,0.0,none
Xinjiang,land,R14_C30,0.0,0.0,none
Xinjiang,land,R15_C20,-0.0,-0.0,none
Xinjiang,land,R15_C21,-0.0,-0.0,none
Xinjiang,land,R15_C22,-0.0,-0.0,none
Xinjiang,land,R15_C23,-0.0,-0.0,none
Xinjiang,land,R15_C24,-0.0,-0.0,none
Xinjiang,land,R15_C25,-0.0,-0.0,none
Xinjiang,land,R15_C26,-0.0,-0.0,none
Xinjiang,land,R15_C27,-0.0,-0.0,none
Xinjiang,land,R15_C28,-0.0,-0.0,none
Xinjiang,land,R15_C29,-0.0,-0.0,none
Xinjiang,land,R15_C30,-0.0,-0.0,none
Xinjiang,land,R16_C19,-0.0,-0.0,none
Xinjiang,land,R16_C20,-0.0,-0.0,none
Xinjiang,land,R16_C21,1.0,-0.0,power
Xinjiang,land,R16_C22,-0.0,1.0,chem
Xinjiang,land,R16_C23,-0.0,-0.0,none
Xinjiang,land,R16_C24,-0.0,-0.0,none
Xinjiang,land,R16_C25,-0.0,-0.0,none
Xinjiang,land,R16_C26,-0.0,-0.0,none
Xinjiang,land,R16_C27,-0.0,-0.0,none
Xinjiang,land,R16_C28,-0.0,-0.0,none
Xinjiang,land,R16_C29,-0.0,-0.0,none
Xinjiang,land,R16_C30,-0.0,-0.0,none
Xinjiang,land,R16_C31,-0.0,-0.0,none
Xinjiang,land,R17_C19,-0.0,-0.0,none
Xinjiang,land,R17_C20,-0.0,-0.0,none
Xinjiang,land,R17_C21,1.0,-0.0,power
Xinjiang,land,R17_C22,1.0,-0.0,power
Xinjiang,land,R17_C23,-0.0,1.0,chem
Xinjiang,land,R17_C24,-0.0,-0.0,none
Xinjiang,land,R17_C25,-0.0,-0.0,none
Xinjiang,land,R17_C26,-0.0,-0.0,none
Xinjiang,land,R17_C27,-0.0,-0.0,none
Xinjiang,land,R17_C28,-0.0,-0.0,none
Xinjiang,land,R17_C29,-0.0,-0.0,none
Xinjiang,land,R17_C30,-0.0,-0.0,none
Xinjiang,land,R17_C31,-0.0,-0.0,none
Xinjiang,land,R18_C15,-0.0,-0.0,none
Xinjiang,land,R18_C16,-0.0,-0.0,none
Xinjiang,land,R18_C17,-0.0,-0.0,none
Xinjiang,land,R18_C18,-0.0,-0.0,none
Xinjiang,land,R18_C19,-0.0,-0.0,none
Xinjiang,land,R18_C20,-0.0,-0.0,none
Xinjiang,land,R18_C21,-0.0,0.0,none
Xinjiang,land,R18_C22,1.0,0.0,power
Xinjiang,land,R18_C23,-0.0,-0.0,none
Xinjiang,land,R18_C24,-0.0,-0.0,none
Xinjiang,land,R18_C25,-0.0,-0.0,none
Xinjiang,land,R18_C26,-0.0,-0.0,none
Xinjiang,land,R18_C27,-0.0,-0.0,none
Xinjiang,land,R18_C28,-0.0,-0.0,none
Xinjiang,land,R18_C29,-0.0,-0.0,none
Xinjiang,land,R18_C30,-0.0,-0.0,none
Xinjiang,land,R19_C15,-0.0,-0.0,none
Xinjiang,land,R19_C16,-0.0,-0.0,none
Xinjiang,land,R19_C17,-0.0,-0.0,none
Xinjiang,land,R19_C18,-0.0,-0.0,none
Xinjiang,land,R19_C19,-0.0,-0.0,none
Xinjiang,land,R19_C20,-0.0,-0.0,none
Xinjiang,land,R19_C21,-0.0,0.0,none
Xinjiang,land,R19_C22,-0.0,-0.0,none
Xinjiang,land,R19_C23,-0.0,0.0,none
Xinjiang,land,R19_C24,-0.0,-0.0,none
Xinjiang,land,R19_C25,-0.0,0.0,none
Xinjiang,land,R19_C26,-0.0,-0.0,none
Xinjiang,land,R19_C27,1.0,-0.0,power
Xinjiang,land,R19_C28,-0.0,-0.0,none
Xinjiang,land,R19_C29,-0.0,-0.0,none
Xinjiang,land,R19_C30,-0.0,-0.0,none
Xinjiang,land,R20_C16,1.0,-0.0,power
Xinjiang,land,R20_C17,1.0,-0.0,power
Xinjiang,land,R20_C18,-0.0,-0.0,none
Xinjiang,land,R20_C19,-0.0,-0.0,none
Xinjiang,land,R20_C20,-0.0,-0.0,none
Xinjiang,land,R20_C21,-0.0,0.0,none
Xinjiang,land,R20_C22,-0.0,-0.0,none
Xinjiang,land,R20_C23,-0.0,0.0,none
Xinjiang,land,R20_C24,-0.0,-0.0,none
Xinjiang,land,R20_C25,-0.0,0.0,none
Xinjiang,land,R20_C26,1.0,-0.0,power
Xinjiang,land,R20_C27,1.0,-0.0,power
Xinjiang,land,R20_C28,-0.0,-0.0,none
Xinjiang,land,R20_C29,1.0,-0.0,power
Xinjiang,land,R20_C30,-0.0,-0.0,none
Xinjiang,land,R20_C31,-0.0,-0.0,none
Xinjiang,land,R21_C15,-0.0,-0.0,none
Xinjiang,land,R21_C16,1.0,-0.0,power
Xinjiang,land,R21_C17,1.0,-0.0,power
Xinjiang,land,R21_C18,-0.0,-0.0,none
Xinjiang,land,R21_C19,-0.0,-0.0,none
Xinjiang,land,R21_C20,-0.0,-0.0,none
Xinjiang,land,R21_C21,-0.0,-0.0,none
Xinjiang,land,R21_C22,-0.0,-0.0,none
Xinjiang,land,R21_C23,-0.0,-0.0,none
Xinjiang,land,R21_C24,-0.0,-0.0,none
Xinjiang,land,R21_C25,-0.0,-0.0,none
Xinjiang,land,R21_C26,1.0,-0.0,power
Xinjiang,land,R21_C27,1.0,-0.0,power
Xinjiang,land,R21_C28,-0.0,1.0,chem
Xinjiang,land,R21_C29,-0.0,-0.0,none
Xinjiang,land,R21_C30,-0.0,-0.0,none
Xinjiang,land,R21_C31,-0.0,-0.0,none
Xinjiang,land,R21_C32,-0.0,-0.0,none
Xinjiang,land,R21_C33,-0.0,-0.0,none
Xinjiang,land,R21_C34,-0.0,-0.0,none
Xinjiang,land,R22_C15,-0.0,-0.0,none
Xinjiang,land,R22_C16,-0.0,-0.0,none
Xinjiang,land,R22_C17,-0.0,-0.0,none
Xinjiang,land,R22_C18,-0.0,-0.0,none
Xinjiang,land,R22_C19,-0.0,-0.0,none
Xinjiang,land,R22_C20,-0.0,-0.0,none
Xinjiang,land,R22_C21,-0.0,-0.0,none
Xinjiang,land,R22_C22,-0.0,0.0,none
Xinjiang,land,R22_C23,-0.0,-0.0,none
Xinjiang,land,R22_C24,-0.0,1.0,chem
Xinjiang,land,R22_C25,-0.0,1.0,chem
Xinjiang,land,R22_C26,1.0,-0.0,power
Xinjiang,land,R22_C27,-0.0,-0.0,none
Xinjiang,land,R22_C28,-0.0,-0.0,none
Xinjiang,land,R22_C29,-0.0,-0.0,none
Xinjiang,land,R22_C30,-0.0,-0.0,none
Xinjiang,land,R22_C31,-0.0,-0.0,none
Xinjiang,land,R22_C32,-0.0,-0.0,none
Xinjiang,land,R22_C33,1.0,-0.0,power
Xinjiang,land,R22_C34,-0.0,-0.0,none
Xinjiang,land,R22_C35,-0.0,-0.0,none
Xinjiang,land,R23_C14,-0.0,-0.0,none
Xinjiang,land,R23_C15,-0.0,-0.0,none
Xinjiang,land,R23_C16,-0.0,-0.0,none
Xinjiang,land,R23_C17,-0.0,-0.0,none
Xinjiang,land,R23_C18,-0.0,-0.0,none
Xinjiang,land,R23_C19,-0.0,0.0,none
Xinjiang,land,R23_C20,-0.0,-0.0,none
Xinjiang,land,R23_C21,-0.0,-0.0,none
Xinjiang,land,R23_C22,-0.0,-0.0,none
Xinjiang,land,R23_C23,-0.0,0.0,none
Xinjiang,land,R23_C24,-0.0,-0.0,none
Xinjiang,land,R23_C25,1.0,-0.0,power
Xinjiang,land,R23_C26,-0.0,1.0,chem
Xinjiang,land,R23_C27,-0.0,-0.0,none
Xinjiang,land,R23_C28,-0.0,-0.0,none
Xinjiang,land,R23_C29,-0.0,-0.0,none
Xinjiang,land,R23_C30,-0.0,-0.0,none
Xinjiang,land,R23_C31,-0.0,-0.0,none
Xinjiang,land,R23_C32,-0.0,-0.0,none
Xinjiang,land,R23_C33,-0.0,-0.0,none
Xinjiang,land,R23_C34,-0.0,-0.0,none
Xinjiang,land,R23_C35,-0.0,-0.0,none
Xinjiang,land,R23_C36,-0.0,-0.0,none
Xinjiang,land,R23_C37,-0.0,-0.0,none
Xinjiang,land,R24_C12,-0.0,-0.0,none
Xinjiang,land,R24_C13,-0.0,-0.0,none
Xinjiang,land,R24_C14,-0.0,-0.0,none
Xinjiang,land,R24_C15,-0.0,-0.0,none
Xinjiang,land,R24_C16,-0.0,-0.0,none
Xinjiang,land,R24_C17,-0.0,-0.0,none
Xinjiang,land,R24_C18,-0.0,-0.0,none
Xinjiang,land,R24_C19,-0.0,-0.0,none
Xinjiang,land,R24_C20,-0.0,-0.0,none
Xinjiang,land,R24_C21,-0.0,-0.0,none
Xinjiang,land,R24_C22,-0.0,-0.0,none
Xinjiang,land,R24_C23,-0.0,-0.0,none
Xinjiang,land,R24_C24,-0.0,1.0,chem
Xinjiang,land,R24_C25,-0.0,-0.0,none
Xinjiang,land,R24_C26,-0.0,-0.0,none
Xinjiang,land,R24_C27,-0.0,-0.0,none
Xinjiang,land,R24_C28,-0.0,-0.0,none
Xinjiang,land,R24_C29,-0.0,-0.0,none
Xinjiang,land,R24_C30,-0.0,-0.0,none
Xinjiang,land,R24_C31,-0.0,-0.0,none
Xinjiang,land,R24_C32,-0.0,-0.0,none
Xinjiang,land,R24_C33,-0.0,-0.0,none
Xinjiang,land,R24_C34,-0.0,-0.0,none
Xinjiang,land,R24_C35,-0.0,-0.0,none
