province,grid_type,grid_id,sector,tech,capacity_mw,cf,annual_generation_mwh
Xinjiang,land,R14_C27,power,wind_land,4974.785972065928,0.317124914894142,13820026.343349896
Xinjiang,land,R16_C21,power,wind_land,5977.208628008462,0.412307309430616,21588554.032119982
Xinjiang,land,R16_C22,chem,wind_land,994.2659713852125,0.301403722802249,2625157.075424413
Xinjiang,land,R17_C22,power,wind_land,8993.847814972381,0.250928320296368,19769665.45685869
Xinjiang,land,R17_C23,chem,wind_land,931.4331598778282,0.227552352781373,1856680.3092217878
Xinjiang,land,R18_C22,power,wind_land,8389.99999999999,0.20734836942604,15239358.698683992
Xinjiang,land,R19_C27,power,wind_land,12500.0,0.301128875356913,32973611.851581972
Xinjiang,land,R20_C16,power,wind_land,3742.5,0.238782645153102,7828321.873492842
Xinjiang,land,R20_C17,power,wind_land,6492.5,0.243959232139023,13875010.556444438
Xinjiang,land,R20_C26,power,wind_land,3410.0,0.210813988426214,6297351.136672494
Xinjiang,land,R20_C27,power,wind_land,9733.325107821027,0.241784975322439,20615536.7139581
Xinjiang,land,R20_C29,power,wind_land,3583.871711081999,0.364876149772022,11455183.16625626
Xinjiang,land,R21_C16,power,wind_land,1227.5,0.232921591949189,2504582.586070434
Xinjiang,land,R21_C17,power,wind_land,5001.619729372317,0.246870519498647,10816431.557701476
Xinjiang,land,R21_C26,power,wind_land,1350.0,0.189187810045701,2237335.04160046
Xinjiang,land,R21_C27,power,wind_land,11235.0,0.203277724716398,20006309.077773284
Xinjiang,land,R21_C28,chem,wind_land,7397.199193094005,0.201003738085717,13024934.67718653
Xinjiang,land,R22_C24,chem,wind_land,865.0,0.176904222351967,1340474.0544497948
Xinjiang,land,R22_C33,power,wind_land,542.8325474280543,0.504025728651154,2396749.755416168
Xinjiang,land,R23_C25,power,wind_land,4272.5,0.332306551532439,12437270.534859749
Xinjiang,land,R23_C26,chem,wind_land,3246.587874128882,0.493053334770578,14022490.966973111
Xinjiang,land,R25_C33,power,wind_land,5947.380014697844,0.240592751798156,12534653.547835482
Xinjiang,land,R26_C15,power,wind_land,4025.0,0.182565693233324,6437083.777713771
Xinjiang,land,R26_C2,power,wind_land,10402.5,0.344734797151244,31414268.651724543
Xinjiang,land,R26_C21,power,wind_land,549.6941900777282,0.213920861697955,1030097.6401512548
Xinjiang,land,R26_C22,power,wind_land,4573.052211244386,0.302464024278155,12116689.869412528
Xinjiang,land,R26_C3,power,wind_land,5938.250776912179,0.319280357075431,16608669.41727435
Xinjiang,land,R27_C15,power,wind_land,3660.6410843995427,0.189217355941036,6067673.804863465
Xinjiang,land,R27_C21,power,wind_land,6070.0,0.237023159039178,12603279.840222018
Xinjiang,land,R27_C22,chem,wind_land,5498.149618233214,0.233838855169126,11262565.667539703
Xinjiang,land,R28_C5,power,wind_land,3710.0,0.192798405006114,6265871.043336703
Xinjiang,land,R28_C6,power,wind_land,916.2520038432365,0.174878573121682,1403639.705135407
Xinjiang,land,R29_C5,power,wind_land,9935.0,0.226986055531476,19754732.604537673
Xinjiang,land,R29_C6,power,wind_land,9222.5,0.208733295334212,16863375.070085187
Xinjiang,land,R30_C3,chem,wind_land,2505.7433311007267,0.296708143329473,6512836.194536484
Xinjiang,land,R31_C16,power,wind_land,12500.0,0.30761460391283,33683799.12845489
Xinjiang,land,R32_C10,power,wind_land,12481.1233094538,0.243463714468479,26619017.620930545
Xinjiang,land,R32_C15,power,wind_land,4572.7613804986295,0.321184059715271,12865795.043248348
Xinjiang,land,R32_C7,chem,wind_land,2721.767809733055,0.237917112989793,5672583.022197308
Xinjiang,land,R14_C27,power,pv,5506.977526048784,0.160071317256393,7722020.125056796
Xinjiang,land,R16_C22,chem,pv,11231.93229069853,0.168797139324705,16608242.028286148
Xinjiang,land,R17_C21,power,pv,19823.27571258933,0.16383964065064,28451064.11479815
Xinjiang,land,R18_C22,power,pv,3336.3523733236657,0.151684761437002,4433206.609040211
Xinjiang,land,R20_C16,power,pv,447.07196479282345,0.160706228373036,629381.903633034
Xinjiang,land,R20_C17,power,pv,19939.9098403007,0.162040764822836,28304245.3913415
Xinjiang,land,R21_C26,power,pv,28672.6601707132,0.158229386873693,39742871.164323434
Xinjiang,land,R22_C24,chem,pv,94.65547133746608,0.16250235548368,134744.0165733843
Xinjiang,land,R22_C25,chem,pv,17508.4965771322,0.161836951195344,24821650.145060994
Xinjiang,land,R22_C26,power,pv,14570.242918170201,0.170389719055555,21747747.673208322
Xinjiang,land,R23_C25,power,pv,7136.918917088784,0.176897714406356,11059540.684387663
Xinjiang,land,R23_C26,chem,pv,43931.615515522295,0.182521664715633,70241811.19445269
Xinjiang,land,R24_C24,chem,pv,7151.774825013971,0.185165527081696,11600536.47817945
Xinjiang,land,R25_C14,power,pv,22730.05945315624,0.161168292015558,32091076.169020966
Xinjiang,land,R25_C22,chem,pv,28939.63020067742,0.172273595068941,43673279.01941484
Xinjiang,land,R25_C33,power,pv,7095.104801176969,0.185754025442454,11545191.873131208
Xinjiang,land,R25_C4,power,pv,5426.420627789544,0.194469245639227,9244182.071824588
Xinjiang,land,R26_C22,power,pv,12235.918002727525,0.163326217517177,17506388.757865764
Xinjiang,land,R28_C6,power,pv,38437.71318904711,0.15751730632573,53038340.17545084
Xinjiang,land,R31_C5,chem,pv,26942.6517241355,0.168746938662641,39827252.38161795
Xinjiang,land,R34_C10,power,pv,16149.163412995887,0.153992893960912,21784862.14297066
Xinjiang,land,R36_C6,chem,pv,3007.532904961235,0.229027943709032,6033967.513298184
Xinjiang,land,R38_C9,power,pv,1960.1119879768821,0.228788494603836,3928431.381821269
