province,grid_id_50km,sector,tech,target_capacity_mw,allocated_capacity_mw,unallocated_capacity_mw,core_pixel_count,extension_pixel_count,competition_removed_count,eligible_pixel_count,eligible_pot_sum_mw,disabled_buffer_sides
Xinjiang,R14_C27,power,pv,5506.977526048784,5506.977526048782,1.8189894035458565e-12,2500,6000,0,5021,61828.776831778756,
Xinjiang,R14_C27,power,wind,4974.785972065928,4974.785972065928,0.0,2500,6000,0,4638,23062.5,
Xinjiang,R16_C21,power,wind,5977.208628008462,5977.208628008462,0.0,2500,3000,0,3524,17440.0,bottom|right
Xinjiang,R16_C22,chem,pv,11231.93229069853,11231.932290698542,0.0,2500,3000,0,5083,89133.65579943516,bottom|left
Xinjiang,R16_C22,chem,wind,994.2659713852124,994.2659713852124,0.0,2500,3000,0,5059,25292.5,bottom|left
Xinjiang,R17_C21,power,pv,19823.27571258933,19823.275712589348,0.0,2500,3000,0,5417,77081.31511697013,top|right
Xinjiang,R17_C22,power,wind,8993.847814972381,8993.847814972381,0.0,2500,0,0,2242,10570.0,top|bottom|left|right
Xinjiang,R17_C23,chem,wind,931.4331598778282,931.4331598778282,0.0,2500,3600,900,4926,24610.0,left
Xinjiang,R18_C22,power,pv,3336.3523733236657,3336.352373323666,0.0,2500,3600,900,5850,89727.48678633862,top
Xinjiang,R18_C22,power,wind,8389.99999999999,8389.99999999999,0.0,2500,3600,900,3162,15810.0,top
Xinjiang,R19_C27,power,wind,12500.0,12500.0,0.0,2500,4500,0,6769,33845.0,bottom
Xinjiang,R20_C16,power,pv,447.07196479282345,447.07196479282345,0.0,2500,3000,0,4210,36206.660532305235,bottom|right
Xinjiang,R20_C16,power,wind,3742.5,3742.5,0.0,2500,3000,0,1077,4477.5,bottom|right
Xinjiang,R20_C17,power,pv,19939.9098403007,19939.909840300756,0.0,2500,3000,0,2472,31076.564517795134,bottom|left
Xinjiang,R20_C17,power,wind,6492.5,6492.5,0.0,2500,3000,0,1712,8290.0,bottom|left
Xinjiang,R20_C26,power,wind,3410.0,3410.0,0.0,2500,3000,0,2215,11075.0,bottom|right
Xinjiang,R20_C27,power,wind,9733.325107821029,9733.325107821029,0.0,2500,600,900,2823,14115.0,top|bottom|left
Xinjiang,R20_C29,power,wind,3583.871711081999,3583.871711081999,0.0,2500,4200,1800,6490,32450.0,
Xinjiang,R21_C16,power,wind,1227.5,1227.5,0.0,2500,3000,0,403,1937.5,top|right
Xinjiang,R21_C17,power,wind,5001.619729372317,5001.619729372317,0.0,2500,3000,0,1287,6200.0,top|left
Xinjiang,R21_C26,power,pv,28672.6601707132,28672.660170713218,0.0,2500,600,900,2799,32953.92912466212,top|bottom|right
Xinjiang,R21_C26,power,wind,1350.0,1350.0,0.0,2500,600,900,270,1350.0,top|bottom|right
Xinjiang,R21_C27,power,wind,11235.0,11235.0,0.0,2500,1500,0,2322,11595.0,top|left|right
Xinjiang,R21_C28,chem,wind,7397.199193094005,7397.199193094005,0.0,2500,2100,2400,1975,9875.0,left
Xinjiang,R22_C24,chem,pv,94.65547133746608,94.65547133746608,0.0,2500,3600,900,2586,35100.57995774742,right
Xinjiang,R22_C24,chem,wind,865.0,865.0,0.0,2500,3600,900,624,3120.0,right
Xinjiang,R22_C25,chem,pv,17508.4965771322,17508.496577132188,1.0913936421275139e-11,2500,600,900,2152,20252.39433253664,bottom|left|right
Xinjiang,R22_C26,power,pv,14570.2429181702,14570.242918170181,1.8189894035458565e-11,2500,1500,0,1589,19803.550235024457,top|bottom|left
Xinjiang,R22_C33,power,wind,542.8325474280543,542.8325474280543,0.0,2500,6000,0,8460,42300.0,
Xinjiang,R23_C25,power,pv,7136.918917088784,7136.918917088782,1.8189894035458565e-12,2500,600,2400,1616,28348.3950423337,top|right
Xinjiang,R23_C25,power,wind,4272.5,4272.5,0.0,2500,600,2400,1284,6417.5,top|right
Xinjiang,R23_C26,chem,pv,43931.615515522295,43931.615515522295,0.0,2500,3000,0,5025,98642.07378335035,top|left
Xinjiang,R23_C26,chem,wind,3246.587874128882,3246.587874128882,0.0,2500,3000,0,4450,22202.5,top|left
Xinjiang,R24_C24,chem,pv,7151.774825013971,7151.774825013989,0.0,2500,4200,1800,2359,45882.74399455857,
Xinjiang,R25_C14,power,pv,22730.05945315624,22730.05945315619,4.729372449219227e-11,2500,6000,0,7705,175582.43252951122,
Xinjiang,R25_C22,chem,pv,28939.63020067742,28939.630200677464,0.0,2500,3600,900,4477,85608.55604958955,bottom
Xinjiang,R25_C33,power,pv,7095.104801176969,7095.104801176964,4.547473508864641e-12,2500,6000,0,8267,205479.06742029253,
Xinjiang,R25_C33,power,wind,5947.380014697844,5947.380014697844,0.0,2500,6000,0,6395,31817.5,
Xinjiang,R25_C4,power,pv,5426.420627789544,5426.420627789543,9.094947017729282e-13,2481,3869,0,4935,89899.36026160803,
Xinjiang,R26_C15,power,wind,4025.0,4025.0,0.0,2500,4500,0,1961,9805.0,bottom
Xinjiang,R26_C2,power,wind,10402.5,10402.5,0.0,2500,3896,0,4983,24365.0,right
Xinjiang,R26_C21,power,wind,549.6941900777282,549.6941900777282,0.0,2500,2100,900,1628,8140.0,bottom|right
Xinjiang,R26_C22,power,pv,12235.918002727523,12235.918002727522,1.8189894035458565e-12,2500,1500,0,3127,53996.34146681886,top|bottom|left
Xinjiang,R26_C22,power,wind,4573.052211244386,4573.052211244386,0.0,2500,1500,0,2272,10587.5,top|bottom|left
Xinjiang,R26_C3,power,wind,5938.250776912179,5938.250776912179,0.0,2500,4500,0,5724,28500.0,left
Xinjiang,R27_C15,power,wind,3660.641084399543,3660.641084399543,0.0,2500,4500,0,4387,21935.0,top
Xinjiang,R27_C21,power,wind,6070.0,6070.0,0.0,2500,3000,0,2718,13590.0,top|right
Xinjiang,R27_C22,chem,wind,5498.149618233214,5498.149618233214,0.0,2500,3000,0,2817,14057.5,top|left
Xinjiang,R28_C5,power,wind,3710.0,3710.0,0.0,2500,3000,0,1449,6175.0,bottom|right
Xinjiang,R28_C6,power,pv,38437.71318904711,38437.713189046975,1.3096723705530167e-10,2500,3000,0,5162,100810.22424653266,bottom|left
Xinjiang,R28_C6,power,wind,916.2520038432364,916.2520038432364,0.0,2500,3000,0,1916,9575.0,bottom|left
Xinjiang,R29_C5,power,wind,9935.0,9935.0,0.0,2500,2500,500,3010,14727.5,top|right
Xinjiang,R29_C6,power,wind,9222.5,9222.5,0.0,2500,3000,0,2940,13102.5,top|left
Xinjiang,R30_C3,chem,wind,2505.7433311007267,2505.7433311007267,0.0,2500,5988,0,4543,22707.5,
Xinjiang,R31_C16,power,wind,12500.0,12500.0,0.0,2500,6000,0,8298,41490.0,
Xinjiang,R31_C5,chem,pv,26942.6517241355,26942.651724135525,0.0,2500,5500,500,7212,181984.022231856,
Xinjiang,R32_C10,power,wind,12481.1233094538,12481.1233094538,0.0,2500,6000,0,8353,41690.0,
Xinjiang,R32_C15,power,wind,4572.7613804986295,4572.7613804986295,0.0,2500,6000,0,7335,36675.0,
Xinjiang,R32_C7,chem,wind,2721.767809733055,2721.767809733055,0.0,2500,6000,0,7517,36512.5,
